file,1000,2000,3000,5000,10000
matrixmult.c,0.116,1.6357,7.8393,38.0172,308.7761
matrixmult_opt.c,0.0563,0.4669,1.5667,7.0771,55.4865
matrixmult_library.c,0.1554,0.7841,2.9092,10.4461,84.2541
