file,1000,2000,3000,5000,10000
matrixmult_opt.c,0.0822,0.6582,2.2014,10.3232,81.9582
matrixmult_opt_NOALIGN.c,0.1138,0.9338,3.0941,14.2536,113.2901
matrixmult_library.c,0.1533,0.7781,3.3474,10.5408,83.1862
