file,1000,2000,3000,5000,10000
matrixmult.c,0.1158,1.422,7.6458,37.6826,311.9158
matrixmult_opt.c,0.0591,0.4688,1.5561,7.0921,55.4824
matrixmult_library.c,0.1562,0.7783,2.4358,10.5818,84.6878
